WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
14714,NEWBURGH,NY,STEWART INTERNATIONAL AIRPORT,41.5,-74.1,149.66,0.0,-5
14715,FORT DRUM,NY,WHEELER-SACK AAF AIRPORT,44.05,-75.73333000000001,210.62,0.0,-5
14719,WESTHAMPTON BEACH,NY,FRANCIS S GABRESKI AP,40.84361,-72.63221999999999,20.42,3792.76,-5
14732,NEW YORK,NY,LA GUARDIA AIRPORT,40.77944,-73.88028,9.45,1320.69,-5
14733,BUFFALO,NY,BUFFALO NIAGARA INTERNATIONAL AP,42.9408,-78.7358,214.88,24280.42,-5
14734,NEWARK,NJ,NEWARK LIBERTY INTERNATIONAL AP,40.6825,-74.16944000000001,9.14,948.19,-5
14735,ALBANY,NY,ALBANY INTERNATIONAL AIRPORT,42.7431,-73.8092,89.0,9515.76,-5
14736,ALTOONA,PA,ALTOONA-BLAIR COUNTY ARPT,40.29639,-78.32028000000001,447.75,50626.53,-5
14737,ALLENTOWN,PA,LEHIGH VALLEY INTERNATIONAL AIRPORT,40.65083,-75.4492,117.35,12800.55,-5
14739,BOSTON,MA,GEN E L LOGAN INTERNATIONAL AIRPORT,42.3606,-71.0106,9.14,6095.5,-5
14740,WINDSOR LOCKS,CT,BRADLEY INTERNATIONAL AIRPORT,41.9381,-72.6825,54.56,5587.54,-5
14742,BURLINGTON,VT,BURLINGTON INTERNATIONAL AIRPORT,44.4683,-73.1499,103.63,11784.64,-5
14745,CONCORD,NH,CONCORD MUNICIPAL AIRPORT,43.1952,-71.5011,105.46,11615.32,-5
14747,DUNKIRK,NY,CHAUTAUQUA CO/DUNKIRK ARPT,42.49333,-79.27221999999999,211.23,22587.22,-5
14748,ELMIRA/CORNING,NY,ELMIRA/CORNING RGNL ARPT,42.159440000000004,-76.89194,290.78,33626.85,-5
14750,GLENS FALLS,NY,FLOYD BENNETT MEMO AIRPORT,43.35,-73.6167,101.5,11513.73,-5
14751,HARRISBURG,PA,CAPITAL CITY AIRPORT,40.217220000000005,-76.85139000000001,105.77,11852.36,-5
14752,HARTFORD,CT,HARTFORD-BRAINARD AIRPORT,41.73611,-72.65056,5.79,609.55,-5
14753,MILTON,MA,BLUE HILL OBSERVATORY,42.2123,-71.1137,193.55,22248.58,-5
14755,MT. WASHINGTON,NH,MT. WASHINGTON OBSERVATORY,44.2669,-71.2997,1910.18,212462.11,-5
14756,NANTUCKET,MA,NANTUCKET MEMORIAL AIRPORT,41.25306,-70.06083000000001,14.33,1930.24,-5
14757,POUGHKEEPSIE,NY,DUTCHESS COUNTY AIRPORT,41.6266,-73.8842,49.38,5248.9,-5
14758,NEW HAVEN,CT,TWEED-NEW HAVEN AIRPORT,41.26389,-72.88722,3.96,474.09,-5
14761,PHILIPSBURG,PA,MID-STATE AIRPORT,40.9,-78.08333,593.75,0.0,-5
14762,PITTSBURGH,PA,ALLEGHENY COUNTY AIRPORT,40.35472,-79.92166999999999,388.01,43379.66,-5
14763,PITTSFIELD,MA,PITTSFIELD MUNICIPAL ARPT,42.42722,-73.28917,363.93,39586.9,-5
14764,PORTLAND,ME,PORTLAND INTERNATIONAL JETPORT AP,43.6497,-70.3002,19.2,2438.2,-5
14765,PROVIDENCE,RI,THEODORE F GREEN STATE AIRPORT,41.7219,-71.4325,18.9,1794.79,-5
14768,ROCHESTER,NY,GREATER ROCHESTER INTERNATIONAL AP,43.1167,-77.6767,169.16,19911.97,-5
14770,SELINSGROVE,PA,PENN VALLEY AIRPORT,40.82056,-76.86417,137.16,15035.57,-5
